"","cam","carcass","study_area","utm_z","utm_e","utm_n","long","lat","first_photo","last_photo","season","habitat","elevation","building_density","road_distance","road_class","trail_distance","Folder","total.time","nobs","building_distance"
"55","MVC202F-733","MD_Adult","Okanogan","10U",5376405,710488,-120.150184704334,48.5054609165029,"2017-04-20","2017-05-03","Spring","Riparian",667.36,8,144.820735029828,"Light-Duty Road",1666.6056799003,"Moultrie",0,0,452.939140537333
"56","MVC202F-960","MD_Adult","Okanogan","10U",5378414,709519,-120.162278562608,48.5238363500345,"2014-11-12","2014-12-11","Spring","Sagebrush",827.65,2,147.926295707405,"Unimproved Road",3875.64063198921,"Moultrie",0,0,858.74199279472
"57","MVC205F-1019","MD_Fawn","Okanogan","10U",5393661,695460,-120.345299550898,48.6653896793061,"2017-07-22","2017-08-14","Summer","OpenConifer",1562.8,0,120.093346297863,"Unimproved Road",2809.61906729995,"Moultrie",0,0,5672.14580243399
"58","MVC205F-987","MD_Fawn","Okanogan","10U",5395138,705327,-120.210716494767,48.6754964870127,"2017-07-06","2017-08-14","Summer","OpenConifer",1374.27,0,613.00327783427,"Unimproved Road",4681.3708033884,"Moultrie",0,0,6138.27699687785
"59","MVC223F-390","MD_Adult","Okanogan","10U",5405582,704526,-120.21640651583,48.7696032825896,"2018-06-27","2018-08-24","Summer","OpenConifer",1827.2,0,3118.63460089931,"Unimproved Road",76.7252382799984,"Moultrie",0,0,8440.21158691025
"60","MVC223F-390","MD_Adult","Okanogan","10U",5405582,704526,-120.21640651583,48.7696032825896,"2018-06-27","2018-08-24","Summer","OpenConifer",1827.2,0,3118.63460089931,"Unimproved Road",76.7252382799984,"Reconyx",0,0,8440.21158691025
"61","MVC228F-2274","Other","Okanogan","10U",5378961,710154,-120.153413517471,48.5285390615349,"2019-01-27","2019-03-06","Winter","OpenConifer",951.21,0,208.024441198385,"Unimproved Road",4186.13203586599,"Moultrie",0,0,1541.57522000073
"62","MVC235M-030-08-10C","MD_Adult","Okanogan","10U",5385017,707760,-120.182777687887,48.5837517411272,"2020-01-31","2020-03-03","Winter","OpenConifer",926.74,7,555.541956943675,"Light-Duty Road",3914.20963779733,"Reconyx",0,0,874.357329855952
"63","MVC235M-033-10-30C","Other","Okanogan","10U",5383343,708783,-120.169763817221,48.5683703132472,"2020-02-04","2020-03-10","Winter","OpenConifer",737.85,17,172.466139251984,"Light-Duty Road",4010.66451260386,"Reconyx",0,0,455.833824613023
"64","NEC103F-522","WTD_Adult","Northeast","11U",5361055,472437,-117.372402513768,48.4020502756614,"2018-06-14","2018-08-17","Summer","DenseConifer",805.95,2,428.098172965542,"Unimproved Road",2045.37901817682,"Moultrie",0,0,953.659767443232
