"","X","Cluster","duration.hr","building_density","building_distance","road_density","road_distance","trail_density","trail_distance","forest_density","season"
"44",44,"MVC205F-3084",24,0,6.94487080854291,4,0.399165553030018,0,3.66372296632804,0.682277321815491,"summer"
"45",45,"MVC205F-3123",20,0,7.81781165901082,14,0.089374035922715,0,4.20311645436232,0.861340701580048,"summer"
"46",46,"MVC205F-3133",15,0,8.64245763618718,14,0.528618976054965,0,4.06777845358481,0.949494957923889,"summer"
"47",47,"MVC205F-320",20,0,2.00338072636025,17,0.206886174842349,0,1.72380956231481,0.146923780441284,"winter"
"48",48,"MVC205F-484",116,0,1.34177065949887,33,0.153157112470129,0,2.79786855878065,0.157024800777435,"winter"
"49",49,"MVC205F-499",27,0,1.1042282187647,35,0.142546773541022,0,2.62177475717981,0.0835629031062126,"winter"
"50",50,"MVC205F-643",104,0,4.35340647032497,7,0.208059723438997,0,6.16505978237065,0.717171728610992,"winter"
"51",51,"MVC205F-675",116,0,2.55880945364697,2,0.677115253498976,0,6.89093209918494,0.869605123996735,"winter"
"52",52,"MVC205F-729",67,0,1.97674111550008,9,0.0194617921871448,0,10.2914037256572,0.624426066875458,"winter"
"53",53,"MVC205F-944",23,0,7.37073837602764,6,0.54151163096546,0,2.60781027437909,0.981634497642517,"summer"
"54",54,"MVC205F-951",8,0,6.30890344315729,7,0.239184112791502,0,1.17045329865586,0.869605123996735,"summer"
"55",55,"MVC205F-967",19,0,6.55172552897141,9,0.216504621356281,0,4.87185809307459,0.893480241298676,"summer"
"56",56,"MVC205F-987",11,0,6.13701718183175,8,0.614183854718769,0,4.68125234369241,0.966942131519318,"summer"
"57",57,"MVC206F-1467",55,0,2.77530074656578,14,0.146162255560488,0,18.7616354515338,0.031221304088831,"summer"
"58",58,"MVC206F-1494",19,0,3.17524239060845,33,0.154616872198126,0,14.6473856319184,0.00275482097640634,"summer"
"59",58,"MVC206F-1494",19,0,3.17524239060845,33,0.154616872198126,0,14.6473856319184,0.00275482097640634,"summer"
"60",59,"MVC206F-1504",55,0,3.67126078817179,14,0.0469529072247463,0,18.0963579543725,0.3168044090271,"summer"
"61",60,"MVC206F-253",44,0,1.34580843938357,32,0.324989345554583,0,10.6570799099309,0,"winter"
"62",61,"MVC206F-1067",163,0,5.39327347023292,3,0.321180051318646,0,2.25178053437585,0.506887078285217,"summer"
"63",62,"MVC206F-1637",109,0,2.85277405522779,32,0.124733969763527,0,3.96404045779753,0.797061502933502,"summer"
"64",63,"MVC206F-862",16,0,7.18704557116493,3,0.750876893939792,0,5.08589427393446,0.892561972141266,"summer"
"65",64,"MVC206F-988",51,0,3.39900845176978,0,2.8889940586637,2,0.470789569434378,0.603305757045746,"summer"
"66",65,"MVC207F-1182",67,0,2.09368214088608,9,0.348340757601537,0,2.39060894665568,0.238751143217087,"summer"
"67",66,"MVC207F-1209",107,0,2.6556163645786,10,0.171353209372489,0,1.947493086682,0.810835599899292,"summer"
"68",67,"MVC207F-1212",15,0,1.80998910882755,20,0.116239349806753,0,2.9088191667002,0.651974260807037,"summer"
"69",68,"MVC207F-1308",64,0,4.40063846863592,20,0.0967262981110848,1,0.500698183236993,0.198347106575966,"summer"
"70",69,"MVC207F-1353",64,0,3.58679776286835,4,0.889076895922051,0,2.87640731074093,0.112029381096363,"summer"
"71",70,"MVC207F-1395",83,1,0.368189573309922,9,0.396351448503121,1,0.364189150628375,0.928374648094177,"summer"
"72",71,"MVC207F-1464",115,0,2.9563429594679,13,0.0148816141352937,0,2.05298413052622,0.210284665226936,"summer"
"73",72,"MVC207F-1553",80,0,1.81199282628581,20,0.26217456117638,0,2.27899187149415,0.748392999172211,"summer"
"74",73,"MVC207F-400",84,0,1.43248371174923,10,0.288142695544824,0,1.10921172479849,0.402203857898712,"winter"
"75",74,"MVC207F-513",160,0,2.21718588846607,25,0.0207522934005959,0,1.74864692561624,0.850321412086487,"winter"
"76",75,"MVC207F-582",111,0,1.8164508573287,15,0.0961719198567944,0,1.79658275095148,0.0578512400388718,"winter"
"77",76,"MVC209M-402",28,3,0.451575891512319,11,0.0255794016200605,0,2.01177591441133,0.534435272216797,"winter"
"78",77,"MVC209M-438",48,29,0.172371621696088,24,0.236010595130603,0,4.65935804742266,0,"winter"
"79",78,"MVC209M-473",28,8,0.872129946424774,25,0.186715236182913,0,2.27026323280337,0.433425158262253,"winter"
"80",79,"MVC209M-490",84,0,1.06787710262299,27,0.146875175709454,0,5.44960556557219,0.570247948169708,"winter"
"81",80,"MVC209M-515",27,0,1.86834907249035,36,0.0723503363960276,0,4.85826618861761,0.443526178598404,"winter"
"82",81,"MVC221M-1108",27,0,1.97507594409907,0,1.44734975081872,0,1.06786108451422,1,"summer"
"83",82,"MVC221M-1135",20,0,4.09182380431273,16,0.0963825779948038,1,0.817869139740682,0.834710717201233,"summer"
"84",83,"MVC221M-1254",104,0,7.84072836883129,0,1.07124933789138,0,1.20731214550988,0.3021120429039,"summer"
"85",84,"MVC221M-2252",139,1,0.988707524923063,2,0.911855474578764,0,6.17558744884733,0.0440771356225014,"winter"
"86",85,"MVC221M-299",23,0,2.2158699496061,3,0.640058575123437,0,5.43029967732357,0.202020198106766,"winter"
"87",86,"MVC221M-486",75,0,1.94653330370137,4,0.391591531608799,0,5.2591063716569,0.193755745887756,"winter"
"88",87,"MVC222F-1026",28,1,0.881763177075909,21,0.166376974570963,0,15.9332212669222,0.304866850376129,"summer"
"89",88,"MVC222F-1042",84,0,1.5981753548603,10,0.263595490645523,0,11.1145326775025,0.280073463916779,"summer"
"90",89,"MVC222F-1064",44,0,1.11497528051619,7,0.120998978967037,0,13.0170447540611,0.171717166900635,"summer"
"91",90,"MVC222F-1227",72,0,2.04713114429706,8,0.176897746130594,0,12.2783073916971,0.168962344527245,"summer"
"92",91,"MVC222F-1279",855,6,0.173191269968892,11,0.0759944934657937,0,15.0325909999832,0.112947657704353,"summer"
"93",92,"MVC223F-101",64,0,1.18419662219065,22,0.0524667390637519,0,5.67234097933048,0.725436151027679,"winter"
"94",93,"MVC223F-106",12,0,3.33619738982204,9,0.535280941432362,0,3.45060227710537,0.168044075369835,"winter"
